Co_Fe_N_din6_as_c2_15, -635.49
Cu_Fe_N_din6_as_c2_15, -632.159
Fe_Fe_N_din6_as_c2_15, -636.62
Ir_Fe_N_din6_as_c2_15, -636.801
Ni_Fe_N_din6_as_c2_15, -634.237
Os_Fe_N_din6_as_c2_15, -638.291
Pd_Fe_N_din6_as_c2_15, -633.376
Pt_Fe_N_din6_as_c2_15, -634.487
Rh_Fe_N_din6_as_c2_15, -635.627
Ru_Fe_N_din6_as_c2_15, -636.942
Zn_Fe_N_din6_as_c2_15, -629.836
Ag_Fe_N_din6_as_c2_16, -630.414
Au_Fe_N_din6_as_c2_16, -630.99
Cd_Fe_N_din6_as_c2_16, -629.022
Co_Fe_N_din6_as_c2_16, -635.663
Cu_Fe_N_din6_as_c2_16, -632.771
Fe_Fe_N_din6_as_c2_16, -636.608
Ir_Fe_N_din6_as_c2_16, -636.645
Ni_Fe_N_din6_as_c2_16, -634.457
Os_Fe_N_din6_as_c2_16, -637.954
Pd_Fe_N_din6_as_c2_16, -633.595
Pt_Fe_N_din6_as_c2_16, -634.581
Rh_Fe_N_din6_as_c2_16, -635.637
Ru_Fe_N_din6_as_c2_16, -636.789
Zn_Fe_N_din6_as_c2_16, -630.197
Ag_Fe_N_din6_as_c2_23, -630.235
Au_Fe_N_din6_as_c2_23, -631.614
Cd_Fe_N_din6_as_c2_23, -628.674
Co_Fe_N_din6_as_c2_23, -635.723
Cu_Fe_N_din6_as_c2_23, -632.482
Fe_Fe_N_din6_as_c2_23, -636.741
Ir_Fe_N_din6_as_c2_23, -637.116
Ni_Fe_N_din6_as_c2_23, -634.51
Os_Fe_N_din6_as_c2_23, -638.267
Pd_Fe_N_din6_as_c2_23, -633.835
Pt_Fe_N_din6_as_c2_23, -635.308
Rh_Fe_N_din6_as_c2_23, -635.68
Ru_Fe_N_din6_as_c2_23, -636.702
Zn_Fe_N_din6_as_c2_23, -630.274
Ag_Fe_N_din6_as_c2_24, -630.25
Au_Fe_N_din6_as_c2_24, -631.623
Cd_Fe_N_din6_as_c2_24, -628.9
Co_Fe_N_din6_as_c2_24, -635.61
Cu_Fe_N_din6_as_c2_24, -632.637
Fe_Fe_N_din6_as_c2_24, -636.616
Ir_Fe_N_din6_as_c2_24, -636.87
Ni_Fe_N_din6_as_c2_24, -634.491
Os_Fe_N_din6_as_c2_24, -638.32
