system,tot_energy
Os_N_din4_x2_c2_b_v2,-630.32
Pd_N_din4_x2_c2_b_v2,-625.534
Pt_N_din4_x2_c2_b_v2,-626.811
Rh_N_din4_x2_c2_b_v2,-627.16
Ru_N_din4_x2_c2_b_v2,-628.333
Zn_N_din4_x2_c2_b_v2,-621.686
Ag_N_din4_x2_c2_c,-620.846
Au_N_din4_x2_c2_c,-621.463
Cd_N_din4_x2_c2_c,-620.298
Co_N_din4_x2_c2_c,-626.023
Cu_N_din4_x2_c2_c,-623.222
Fe_N_din4_x2_c2_c,-627.765
Ir_N_din4_x2_c2_c,-628.325
Ni_N_din4_x2_c2_c,-624.381
Os_N_din4_x2_c2_c,-630.464
Pd_N_din4_x2_c2_c,-624.693
Pt_N_din4_x2_c2_c,-626.128
Rh_N_din4_x2_c2_c,-626.74
Ru_N_din4_x2_c2_c,-628.542
Zn_N_din4_x2_c2_c,-622.125
Ag_C_din4_x2_c6,-622.023
Au_C_din4_x2_c6,-624.02
Cd_C_din4_x2_c6,-616.759
Co_C_din4_x2_c6,-623.847
Cu_C_din4_x2_c6,-623.033
Fe_C_din4_x2_c6,-625.429
Ir_C_din4_x2_c6,-628.371
Ni_C_din4_x2_c6,-624.669
Os_C_din4_x2_c6,-629.574
Pd_C_din4_x2_c6,-621.945
Pt_C_din4_x2_c6,-623.539
Rh_C_din4_x2_c6,-624.636
Ru_C_din4_x2_c6,-627.485
Zn_C_din4_x2_c6,-618.385
Ag_N_din4_x2_c2_d,-620.666
Au_N_din4_x2_c2_d,-621.461
Cd_N_din4_x2_c2_d,-619.738
Co_N_din4_x2_c2_d,-625.489
Cu_N_din4_x2_c2_d,-622.165
Fe_N_din4_x2_c2_d,-627.784
Ir_N_din4_x2_c2_d,-628.098
Ni_N_din4_x2_c2_d,-624.273
Os_N_din4_x2_c2_d,-630.08
Pd_N_din4_x2_c2_d,-624.695
Pt_N_din4_x2_c2_d,-625.98
Rh_N_din4_x2_c2_d,-626.128
Ru_N_din4_x2_c2_d,-628.149
Zn_N_din4_x2_c2_d,-620.842
Ag_N_din4_x2_c2_e,-621.487
Au_N_din4_x2_c2_e,-622.337
Cd_N_din4_x2_c2_e,-620.581
Co_N_din4_x2_c2_e,-626.453
Cu_N_din4_x2_c2_e,-623.033
Fe_N_din4_x2_c2_e,-628.016
Ir_N_din4_x2_c2_e,-628.58
Ni_N_din4_x2_c2_e,-625.165
Os_N_din4_x2_c2_e,-630.32
Pd_N_din4_x2_c2_e,-625.534
Pt_N_din4_x2_c2_e,-626.811
Rh_N_din4_x2_c2_e,-627.16
Ru_N_din4_x2_c2_e,-628.333
Zn_N_din4_x2_c2_e,-621.686
Ag_N_din4_x2_c2_e_v2,-621.485
Au_N_din4_x2_c2_e_v2,-615.797
Cd_N_din4_x2_c2_e_v2,-617.629
Co_N_din4_x2_c2_e_v2,-624.817
Cu_N_din4_x2_c2_e_v2,-623.033
Fe_N_din4_x2_c2_e_v2,-626.111
Ir_N_din4_x2_c2_e_v2,-627.361
Ni_N_din4_x2_c2_e_v2,-623.103
Os_N_din4_x2_c2_e_v2,-629.175
Pd_N_din4_x2_c2_e_v2,-623.304
Pt_N_din4_x2_c2_e_v2,-624.764
Rh_N_din4_x2_c2_e_v2,-625.435
Ru_N_din4_x2_c2_e_v2,-627.205
Zn_N_din4_x2_c2_e_v2,-621.686
Ag_N_din4_x2_c2_f,-620.561
Au_N_din4_x2_c2_f,-622.025
Cd_N_din4_x2_c2_f,-618.759
Co_N_din4_x2_c2_f,-625.284
Cu_N_din4_x2_c2_f,-621.767
Fe_N_din4_x2_c2_f,-626.711
Ir_N_din4_x2_c2_f,-627.93
Ni_N_din4_x2_c2_f,-624.331
Os_N_din4_x2_c2_f,-629.214
Pd_N_din4_x2_c2_f,-624.7
Pt_N_din4_x2_c2_f,-626.121
Rh_N_din4_x2_c2_f,-626.303
Ru_N_din4_x2_c2_f,-627.224
Zn_N_din4_x2_c2_f,-619.935
Ag_N_din4_x2_c2_g,-619.561
Au_N_din4_x2_c2_g,-621.1
Cd_N_din4_x2_c2_g,-619.38
Co_N_din4_x2_c2_g,-625.659
Cu_N_din4_x2_c2_g,-622.099
Fe_N_din4_x2_c2_g,-626.752
Ir_N_din4_x2_c2_g,-627.764
Ni_N_din4_x2_c2_g,-623.818
Os_N_din4_x2_c2_g,-629.183
Pd_N_din4_x2_c2_g,-623.199
Pt_N_din4_x2_c2_g,-625.054
Rh_N_din4_x2_c2_g,-625.842
Ru_N_din4_x2_c2_g,-627.216
Zn_N_din4_x2_c2_g,-620.66
Ag_N_din4_x2_c2_g_v2,-620.502
Au_N_din4_x2_c2_g_v2,-621.316
Cd_N_din4_x2_c2_g_v2,-619.532
Co_N_din4_x2_c2_g_v2,-626.173
Cu_N_din4_x2_c2_g_v2,-622.03
Fe_N_din4_x2_c2_g_v2,-627.953
Ir_N_din4_x2_c2_g_v2,-628.351
Ni_N_din4_x2_c2_g_v2,-624.189
Os_N_din4_x2_c2_g_v2,-630.606
Pd_N_din4_x2_c2_g_v2,-624.532
Pt_N_din4_x2_c2_g_v2,-625.744
Rh_N_din4_x2_c2_g_v2,-626.73
Ru_N_din4_x2_c2_g_v2,-628.6
Zn_N_din4_x2_c2_g_v2,-620.66
Ag_N_din4_x2_c3_a,-620.908
Au_N_din4_x2_c3_a,-622.385
Cd_N_din4_x2_c3_a,-618.806
Co_N_din4_x2_c3_a,-625.935
Cu_N_din4_x2_c3_a,-621.849
Fe_N_din4_x2_c3_a,-627.646
