system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,Ecoh_m1,Ecoh_m2,E_dft_M1M2
Ni_Fe_N_din4_x2_c0,-635.475,Ni,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Ni_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,-5.86878875,-8.6197175,-6.689493749999997
Os_Fe_N_din4_x2_c0,-640.576,Os,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Os_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,-11.839378,-8.6197175,-5.819904499999996
Pd_Fe_N_din4_x2_c0,-634.298,Pd,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Pd_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,-5.79450325,-8.6197175,-5.586779249999976
Pt_Fe_N_din4_x2_c0,-635.427,Pt,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Pt_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,-6.8665185,-8.6197175,-5.643763999999996
Rh_Fe_N_din4_x2_c0,-637.231,Rh,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Rh_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,-7.850822,-8.6197175,-6.463460499999968
Ru_Fe_N_din4_x2_c0,-638.992,Ru,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Ru_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,-9.8124665,-8.6197175,-6.262815999999937
Zn_Fe_N_din4_x2_c0,-630.072,Zn,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Zn_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,-1.61724415,-8.6197175,-5.538038349999978
Ag_Fe_N_din4_x2_c1_a,-628.342,Ag,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Ag_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-3.20700575,-8.6197175,0.26072324999996965
Au_Fe_N_din4_x2_c1_a,-628.935,Au,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Au_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-3.8767095,-8.6197175,0.3374270000000088
Cd_Fe_N_din4_x2_c1_a,-627.737,Cd,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Cd_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-1.2330587,-8.6197175,-1.1082238000000117
Co_Fe_N_din4_x2_c1_a,-637.576,Co,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Co_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-7.3844395,-8.6197175,-4.795843000000069
Cu_Fe_N_din4_x2_c1_a,-631.006,Cu,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Cu_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-4.23458825,-8.6197175,-1.3756942500000182
Fe_Fe_N_din4_x2_c1_a,-638.958,Fe,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Fe_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-8.6197175,-8.6197175,-4.942565000000016
Ir_Fe_N_din4_x2_c1_a,-638.622,Ir,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Ir_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-9.56008375,-8.6197175,-3.666198750000003
Ni_Fe_N_din4_x2_c1_a,-635.381,Ni,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Ni_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-5.86878875,-8.6197175,-4.116493750000018
Os_Fe_N_din4_x2_c1_a,-640.75,Os,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Os_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-11.839378,-8.6197175,-3.5149045000000463
Pd_Fe_N_din4_x2_c1_a,-634.41,Pd,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Pd_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-5.79450325,-8.6197175,-3.2197792500000144
Pt_Fe_N_din4_x2_c1_a,-635.613,Pt,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Pt_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-6.8665185,-8.6197175,-3.350764000000103
Rh_Fe_N_din4_x2_c1_a,-637.349,Rh,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Rh_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-7.850822,-8.6197175,-4.102460500000092
Ru_Fe_N_din4_x2_c1_a,-639.121,Ru,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Ru_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-9.8124665,-8.6197175,-3.912816000000028
Zn_Fe_N_din4_x2_c1_a,-628.502,Zn,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Zn_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-1.61724415,-8.6197175,-1.4890383499999995
Ag_Fe_N_din4_x2_c1_a_v2,-630.13,Ag,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Ag_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,-3.20700575,-8.6197175,-1.5272767500000413
Au_Fe_N_din4_x2_c1_a_v2,-631.357,Au,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Au_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,-3.8767095,-8.6197175,-2.0845730000000167
Cd_Fe_N_din4_x2_c1_a_v2,-628.302,Cd,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Cd_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,-1.2330587,-8.6197175,-1.6732238000000663
Co_Fe_N_din4_x2_c1_a_v2,-637.649,Co,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Co_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,-7.3844395,-8.6197175,-4.868843000000048
Cu_Fe_N_din4_x2_c1_a_v2,-632.704,Cu,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Cu_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,-4.23458825,-8.6197175,-3.0736942499999973
Fe_Fe_N_din4_x2_c1_a_v2,-638.958,Fe,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Fe_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,-8.6197175,-8.6197175,-4.942565000000016
Ir_Fe_N_din4_x2_c1_a_v2,-638.679,Ir,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Ir_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,-9.56008375,-8.6197175,-3.7231987500000194
Ni_Fe_N_din4_x2_c1_a_v2,-635.793,Ni,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Ni_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,-5.86878875,-8.6197175,-4.528493750000052
Os_Fe_N_din4_x2_c1_a_v2,-640.659,Os,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Os_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,-11.839378,-8.6197175,-3.423904500000038
Pd_Fe_N_din4_x2_c1_a_v2,-634.664,Pd,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Pd_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,-5.79450325,-8.6197175,-3.4737792500000335
Pt_Fe_N_din4_x2_c1_a_v2,-636.038,Pt,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Pt_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,-6.8665185,-8.6197175,-3.7757640000000574
Rh_Fe_N_din4_x2_c1_a_v2,-637.228,Rh,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Rh_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,-7.850822,-8.6197175,-3.981460499999997
Ru_Fe_N_din4_x2_c1_a_v2,-638.887,Ru,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Ru_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,-9.8124665,-8.6197175,-3.6788159999999905
Zn_Fe_N_din4_x2_c1_a_v2,-628.766,Zn,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Zn_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,-1.61724415,-8.6197175,-1.7530383500000095
Ag_Fe_N_din4_x2_c1_b,-629.43,Ag,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Ag_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-3.20700575,-8.6197175,-3.5962767500000012
Au_Fe_N_din4_x2_c1_b,-630.538,Au,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Au_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-3.8767095,-8.6197175,-4.034573000000062
Cd_Fe_N_din4_x2_c1_b,-627.922,Cd,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Cd_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-1.2330587,-8.6197175,-4.062223800000076
Co_Fe_N_din4_x2_c1_b,-637.43,Co,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Co_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-7.3844395,-8.6197175,-7.4188430000000025
Cu_Fe_N_din4_x2_c1_b,-632.16,Cu,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Cu_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-4.23458825,-8.6197175,-5.29869425000002
Fe_Fe_N_din4_x2_c1_b,-638.72,Fe,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Fe_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-8.6197175,-8.6197175,-7.473565000000079
Ir_Fe_N_din4_x2_c1_b,-638.512,Ir,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Ir_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-9.56008375,-8.6197175,-6.325198749999995
Ni_Fe_N_din4_x2_c1_b,-635.484,Ni,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Ni_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-5.86878875,-8.6197175,-6.988493750000089
Os_Fe_N_din4_x2_c1_b,-640.368,Os,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Os_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-11.839378,-8.6197175,-5.901904500000104
