system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,system_x,tot_energy_M1,system_y,tot_energy_M2,Eint,color
Co_Fe_N_din4_x2_c2_a,-637.379,Co,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a,2,Co_N_din4_x2_c2_a,din4_x2,Fe_N_din4_x2_c2_a,N_din4_x2_c2_a,-617.773,N,din4,Co_N_din4_x2_c2_a,-625.556,Fe_N_din4_x2_c2_a,-627.008,-2.5879999999999654,#0000ff
Co_Fe_N_din4_x2_c2_b,-637.336,Co,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Co_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,Co_N_din4_x2_c2_b,-624.816,Fe_N_din4_x2_c2_b,-626.094,-2.905999999999949,#0000ff
Co_Fe_N_din4_x2_c2_c,-632.627,Co,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Co_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,Co_N_din4_x2_c2_c,-626.023,Fe_N_din4_x2_c2_c,-627.765,4.218000000000075,#0000ff
Co_Fe_N_din4_x2_c2_e_v2,-637.336,Co,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e_v2,2,Co_N_din4_x2_c2_e_v2,din4_x2,Fe_N_din4_x2_c2_e_v2,N_din4_x2_c2_e,-616.48,N,din4,Co_N_din4_x2_c2_e_v2,-624.817,Fe_N_din4_x2_c2_e_v2,-626.111,-2.8880000000000337,#0000ff
Co_Fe_N_din4_x2_c3_b,-633.275,Co,Fe,N,din4,N_din4_x2_c3_b,N_din4_x2_c3_b,3,Co_N_din4_x2_c3_b,din4_x2,Fe_N_din4_x2_c3_b,N_din4_x2_c3_b,-616.592,N,din4,Co_N_din4_x2_c3_b,-626.612,Fe_N_din4_x2_c3_b,-627.272,4.017000000000053,#0000ff
Co_Fe_N_din4_x2_c3_d,-637.062,Co,Fe,N,din4,N_din4_x2_c3_d,N_din4_x2_c3_d,3,Co_N_din4_x2_c3_d,din4_x2,Fe_N_din4_x2_c3_d,N_din4_x2_c3_d,-617.226,N,din4,Co_N_din4_x2_c3_d,-625.124,Fe_N_din4_x2_c3_d,-626.712,-2.451999999999998,#0000ff
Co_Fe_N_din4_x2_c4_f,-613.685,Co,Fe,N,din4,N_din4_x2_c4_f,N_din4_x2_c4_f,4,Co_N_din4_x2_c4_f,din4_x2,Fe_N_din4_x2_c4_f,N_din4_x2_c4_f,-617.076,N,din4,Co_N_din4_x2_c4_f,-616.008,Fe_N_din4_x2_c4_f,-605.17,-9.58299999999997,#0000ff
Co_Fe_N_din4_x2_c5_a,-636.085,Co,Fe,N,din4,N_din4_x2_c5_a,N_din4_x2_c5_a,5,Co_N_din4_x2_c5_a,din4_x2,Fe_N_din4_x2_c5_a,N_din4_x2_c5_a,-614.849,N,din4,Co_N_din4_x2_c5_a,-626.347,Fe_N_din4_x2_c5_a,-628.045,3.4579999999997426,#0000ff
Cu_Fe_N_din4_x2_c4_f,-611.341,Cu,Fe,N,din4,N_din4_x2_c4_f,N_din4_x2_c4_f,4,Cu_N_din4_x2_c4_f,din4_x2,Fe_N_din4_x2_c4_f,N_din4_x2_c4_f,-617.076,N,din4,Cu_N_din4_x2_c4_f,-599.786,Fe_N_din4_x2_c4_f,-605.17,-23.461000000000013,#800000
Fe_Fe_N_din4_x2_c1_a,-638.958,Fe,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Fe_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,Fe_N_din4_x2_c1_a,-626.741,Fe_N_din4_x2_c1_a,-626.741,-2.2519999999999527,#ffff00
Fe_Fe_N_din4_x2_c2_a,-638.733,Fe,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a,2,Fe_N_din4_x2_c2_a,din4_x2,Fe_N_din4_x2_c2_a,N_din4_x2_c2_a,-617.773,N,din4,Fe_N_din4_x2_c2_a,-627.008,Fe_N_din4_x2_c2_a,-627.008,-2.4899999999997817,#ffff00
Fe_Fe_N_din4_x2_c2_b,-638.422,Fe,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Fe_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,Fe_N_din4_x2_c2_b,-626.094,Fe_N_din4_x2_c2_b,-626.094,-2.713999999999942,#ffff00
Fe_Fe_N_din4_x2_c2_c,-634.044,Fe,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Fe_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,Fe_N_din4_x2_c2_c,-627.765,Fe_N_din4_x2_c2_c,-627.765,4.542999999999893,#ffff00
Fe_Fe_N_din4_x2_c2_e_v2,-638.421,Fe,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e_v2,2,Fe_N_din4_x2_c2_e_v2,din4_x2,Fe_N_din4_x2_c2_e_v2,N_din4_x2_c2_e,-616.48,N,din4,Fe_N_din4_x2_c2_e_v2,-626.111,Fe_N_din4_x2_c2_e_v2,-626.111,-2.6790000000000873,#ffff00
Fe_Fe_N_din4_x2_c3_d,-638.182,Fe,Fe,N,din4,N_din4_x2_c3_d,N_din4_x2_c3_d,3,Fe_N_din4_x2_c3_d,din4_x2,Fe_N_din4_x2_c3_d,N_din4_x2_c3_d,-617.226,N,din4,Fe_N_din4_x2_c3_d,-626.712,Fe_N_din4_x2_c3_d,-626.712,-1.9839999999999236,#ffff00
Fe_Fe_N_din4_x2_c4_f,-615.272,Fe,Fe,N,din4,N_din4_x2_c4_f,N_din4_x2_c4_f,4,Fe_N_din4_x2_c4_f,din4_x2,Fe_N_din4_x2_c4_f,N_din4_x2_c4_f,-617.076,N,din4,Fe_N_din4_x2_c4_f,-605.17,Fe_N_din4_x2_c4_f,-605.17,-22.008000000000038,#ffff00
Fe_Fe_N_din4_x2_c5_a,-637.135,Fe,Fe,N,din4,N_din4_x2_c5_a,N_din4_x2_c5_a,5,Fe_N_din4_x2_c5_a,din4_x2,Fe_N_din4_x2_c5_a,N_din4_x2_c5_a,-614.849,N,din4,Fe_N_din4_x2_c5_a,-628.045,Fe_N_din4_x2_c5_a,-628.045,4.1059999999999945,#ffff00
Ir_Fe_N_din4_x2_c5_a,-637.457,Ir,Fe,N,din4,N_din4_x2_c5_a,N_din4_x2_c5_a,5,Ir_N_din4_x2_c5_a,din4_x2,Fe_N_din4_x2_c5_a,N_din4_x2_c5_a,-614.849,N,din4,Ir_N_din4_x2_c5_a,-628.588,Fe_N_din4_x2_c5_a,-628.045,4.3269999999998845,#000080
Ir_Fe_N_din4_x2_c5_b,-634.357,Ir,Fe,N,din4,N_din4_x2_c5_b,N_din4_x2_c5_b,5,Ir_N_din4_x2_c5_b,din4_x2,Fe_N_din4_x2_c5_b,N_din4_x2_c5_b,-614.569,N,din4,Ir_N_din4_x2_c5_b,-628.127,Fe_N_din4_x2_c5_b,-626.791,5.9920000000000755,#000080
Ni_Fe_N_din4_x2_c2_b,-635.316,Ni,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Ni_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,Ni_N_din4_x2_c2_b,-623.102,Fe_N_din4_x2_c2_b,-626.094,-2.6000000000000227,#00ffff
Ni_Fe_N_din4_x2_c2_c,-631.322,Ni,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Ni_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,Ni_N_din4_x2_c2_c,-624.381,Fe_N_din4_x2_c2_c,-627.765,3.8810000000000855,#00ffff
Ni_Fe_N_din4_x2_c2_e_v2,-635.473,Ni,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e_v2,2,Ni_N_din4_x2_c2_e_v2,din4_x2,Fe_N_din4_x2_c2_e_v2,N_din4_x2_c2_e,-616.48,N,din4,Ni_N_din4_x2_c2_e_v2,-623.103,Fe_N_din4_x2_c2_e_v2,-626.111,-2.7390000000000327,#00ffff
Ni_Fe_N_din4_x2_c3_d,-635.384,Ni,Fe,N,din4,N_din4_x2_c3_d,N_din4_x2_c3_d,3,Ni_N_din4_x2_c3_d,din4_x2,Fe_N_din4_x2_c3_d,N_din4_x2_c3_d,-617.226,N,din4,Ni_N_din4_x2_c3_d,-623.29,Fe_N_din4_x2_c3_d,-626.712,-2.6080000000001746,#00ffff
Ni_Fe_N_din4_x2_c4_f,-612.418,Ni,Fe,N,din4,N_din4_x2_c4_f,N_din4_x2_c4_f,4,Ni_N_din4_x2_c4_f,din4_x2,Fe_N_din4_x2_c4_f,N_din4_x2_c4_f,-617.076,N,din4,Ni_N_din4_x2_c4_f,-611.433,Fe_N_din4_x2_c4_f,-605.17,-12.89100000000019,#00ffff
Os_Fe_C_din4_x2_c6,-636.656,Os,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Os_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Os_C_din4_x2_c6,-629.574,Fe_C_din4_x2_c6,-625.429,5.169000000000096,#808000
Os_Fe_N_din4_x2_c3_b_v2,-639.864,Os,Fe,N,din4,N_din4_x2_c3_b,N_din4_x2_c3_b_v2,3,Os_N_din4_x2_c3_b_v2,din4_x2,Fe_N_din4_x2_c3_b_v2,N_din4_x2_c3_b,-616.592,N,din4,Os_N_din4_x2_c3_b_v2,-604.056,Fe_N_din4_x2_c3_b_v2,-627.272,-25.128000000000043,#808000
Os_Fe_N_din4_x2_c4_f,-615.98,Os,Fe,N,din4,N_din4_x2_c4_f,N_din4_x2_c4_f,4,Os_N_din4_x2_c4_f,din4_x2,Fe_N_din4_x2_c4_f,N_din4_x2_c4_f,-617.076,N,din4,Os_N_din4_x2_c4_f,-622.144,Fe_N_din4_x2_c4_f,-605.17,-5.7420000000000755,#808000
Pd_Fe_N_din4_x2_c3_c,-634.326,Pd,Fe,N,din4,N_din4_x2_c3_c,N_din4_x2_c3_c,3,Pd_N_din4_x2_c3_c,din4_x2,Fe_N_din4_x2_c3_c,N_din4_x2_c3_c,-615.869,N,din4,Pd_N_din4_x2_c3_c,-613.299,Fe_N_din4_x2_c3_c,-626.644,-10.25200000000018,#008080
