system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,system_x,tot_energy_M1,system_y,tot_energy_M2,Eint
Cu_Fe_N_din4_x2_c0,-632.182,Cu,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Cu_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Cu_N_din4_x2_c0,-621.457,Fe_N_din4_x2_c0,-627.485,2.4629999999999654
Fe_Fe_N_din4_x2_c0,-639.053,Fe,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Fe_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Fe_N_din4_x2_c0,-627.485,Fe_N_din4_x2_c0,-627.485,1.6200000000001182
Ir_Fe_N_din4_x2_c0,-638.494,Ir,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Ir_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Ir_N_din4_x2_c0,-627.742,Fe_N_din4_x2_c0,-627.485,2.435999999999808
Ni_Fe_N_din4_x2_c0,-635.475,Ni,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Ni_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Ni_N_din4_x2_c0,-624.047,Fe_N_din4_x2_c0,-627.485,1.7600000000001046
Os_Fe_N_din4_x2_c0,-640.576,Os,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Os_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Os_N_din4_x2_c0,-630.095,Fe_N_din4_x2_c0,-627.485,2.7069999999999936
Pd_Fe_N_din4_x2_c0,-634.298,Pd,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Pd_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Pd_N_din4_x2_c0,-623.425,Fe_N_din4_x2_c0,-627.485,2.314999999999941
Pt_Fe_N_din4_x2_c0,-635.427,Pt,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Pt_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Pt_N_din4_x2_c0,-624.881,Fe_N_din4_x2_c0,-627.485,2.6419999999998254
Rh_Fe_N_din4_x2_c0,-637.231,Rh,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Rh_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Rh_N_din4_x2_c0,-626.06,Fe_N_din4_x2_c0,-627.485,2.016999999999939
Ru_Fe_N_din4_x2_c0,-638.992,Ru,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Ru_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Ru_N_din4_x2_c0,-628.075,Fe_N_din4_x2_c0,-627.485,2.271000000000072
Zn_Fe_N_din4_x2_c0,-630.072,Zn,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Zn_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Zn_N_din4_x2_c0,-619.405,Fe_N_din4_x2_c0,-627.485,2.5209999999998445
