system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,system_x,tot_energy_M1,system_y,tot_energy_M2,Eint,color
Zn_Fe_N_din6_as_c0,-630.112,Zn,Fe,N,din6,N_din6_as_c0,N_din6_as_c0,0,Zn_N_din6_as_c0,din6_as,Fe_N_din6_as_c0,N_din6_as_c0,-618.513,N,din6,Zn_N_din6_as_c0,-622.624,Fe_N_din6_as_c0,-628.361,2.3600000000000136,green
Zn_Fe_N_din6_as_c1_1,-629.968,Zn,Fe,N,din6,N_din6_as_c1_1,N_din6_as_c1_1,1,Zn_N_din6_as_c1_1,din6_as,Fe_N_din6_as_c1_1,N_din6_as_c1_1,-617.784,N,din6,Zn_N_din6_as_c1_1,-621.809,Fe_N_din6_as_c1_1,-628.002,2.058999999999969,green
Cu_Fe_N_din6_as_c2_12,-632.927,Cu,Fe,N,din6,N_din6_as_c2_12,N_din6_as_c2_12,2,Cu_N_din6_as_c2_12,din6_as,Fe_N_din6_as_c2_12,N_din6_as_c2_12,-616.787,N,din6,Cu_N_din6_as_c2_12,-622.344,Fe_N_din6_as_c2_12,-627.631,0.26100000000008095,green
Cd_Fe_N_din6_as_c2_15,-628.466,Cd,Fe,N,din6,N_din6_as_c2_15,N_din6_as_c2_15,2,Cd_N_din6_as_c2_15,din6_as,Fe_N_din6_as_c2_15,N_din6_as_c2_15,-616.717,N,din6,Cd_N_din6_as_c2_15,-620.122,Fe_N_din6_as_c2_15,-627.365,2.3039999999999736,green
Co_Fe_N_din6_as_c2_15,-635.49,Co,Fe,N,din6,N_din6_as_c2_15,N_din6_as_c2_15,2,Co_N_din6_as_c2_15,din6_as,Fe_N_din6_as_c2_15,N_din6_as_c2_15,-616.717,N,din6,Co_N_din6_as_c2_15,-625.375,Fe_N_din6_as_c2_15,-627.365,0.5330000000001291,green
Zn_Fe_N_din6_as_c2_15,-629.836,Zn,Fe,N,din6,N_din6_as_c2_15,N_din6_as_c2_15,2,Zn_N_din6_as_c2_15,din6_as,Fe_N_din6_as_c2_15,N_din6_as_c2_15,-616.717,N,din6,Zn_N_din6_as_c2_15,-621.483,Fe_N_din6_as_c2_15,-627.365,2.2950000000000728,green
Cd_Fe_N_din6_as_c2_23,-628.674,Cd,Fe,N,din6,N_din6_as_c2_23,N_din6_as_c2_23,2,Cd_N_din6_as_c2_23,din6_as,Fe_N_din6_as_c2_23,N_din6_as_c2_23,-616.655,N,din6,Cd_N_din6_as_c2_23,-619.932,Fe_N_din6_as_c2_23,-626.808,1.4110000000000582,green
Pd_Fe_N_din6_as_c2_36,-633.962,Pd,Fe,N,din6,N_din6_as_c2_36,N_din6_as_c2_36,2,Pd_N_din6_as_c2_36,din6_as,Fe_N_din6_as_c2_36,N_din6_as_c2_36,-617.154,N,din6,Pd_N_din6_as_c2_36,-622.381,Fe_N_din6_as_c2_36,-627.622,-1.1130000000000564,green
Pt_Fe_N_din6_as_c2_36,-635.08,Pt,Fe,N,din6,N_din6_as_c2_36,N_din6_as_c2_36,2,Pt_N_din6_as_c2_36,din6_as,Fe_N_din6_as_c2_36,N_din6_as_c2_36,-617.154,N,din6,Pt_N_din6_as_c2_36,-622.88,Fe_N_din6_as_c2_36,-627.622,-1.731999999999971,green
Cu_Fe_N_din6_as_c3_124,-632.311,Cu,Fe,N,din6,N_din6_as_c3_124,N_din6_as_c3_124,3,Cu_N_din6_as_c3_124,din6_as,Fe_N_din6_as_c3_124,N_din6_as_c3_124,-615.966,N,din6,Cu_N_din6_as_c3_124,-621.498,Fe_N_din6_as_c3_124,-626.792,0.013000000000033651,green
