system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,metal,Ecoh,atomic_mass,vdw_radius,r_cov_sb,r_cov_db,dipole_polarizability,ionic_radii_crystals,d_center_sp,Paul_electroneg,MB_electroneg,electron_affinity,covalent_radius,atomic_number,Ion_energ_I,Ion_energ_II,Zung_radius,Coh_radius,Waber_radius,mied_param_h,mied_param_phi,HOMO ,LUMO,mag_moment_bulk_d, E_Fermi,E_Fermi2,Ecoh_m1,system,tot_energy_M2,Edft_fe,color
Co_Fe_N_din4_x2_c3_b,-633.275,Co,Fe,N,din4,N_din4_x2_c3_b,N_din4_x2_c3_b,3,Co_N_din4_x2_c3_b,din4_x2,Fe_N_din4_x2_c3_b,N_din4_x2_c3_b,-616.592,N,din4,Co,-7.3844395,58.933194,200,111,103,55.0,0.58,-2.118685,1.88,1.72,0.6622,126,27,7.88101,17.0844,0.92,1.1,1.181,1.75,5.1,-3.9514,-3.8452,12.365391,3,3.1,-7.3844395,Fe_N_din4_x2_c3_b,-627.272,1.3814395000000559,#0000ff
Co_Fe_N_din4_x2_c3_b_v2,-633.278,Co,Fe,N,din4,N_din4_x2_c3_b,N_din4_x2_c3_b_v2,3,Co_N_din4_x2_c3_b_v2,din4_x2,Fe_N_din4_x2_c3_b_v2,N_din4_x2_c3_b,-616.592,N,din4,Co,-7.3844395,58.933194,200,111,103,55.0,0.58,-2.118685,1.88,1.72,0.6622,126,27,7.88101,17.0844,0.92,1.1,1.181,1.75,5.1,-3.9514,-3.8452,12.365391,3,3.1,-7.3844395,Fe_N_din4_x2_c3_b_v2,-627.272,1.3784395000000131,#0000ff
Co_Fe_N_din6_s_c0,-614.717,Co,Fe,N,din6,N_din6_s_c0,N_din6_s_c0,0,Co_N_din6_s_c0,din6_s,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,Co,-7.3844395,58.933194,200,111,103,55.0,0.58,-2.118685,1.88,1.72,0.6622,126,27,7.88101,17.0844,0.92,1.1,1.181,1.75,5.1,-3.9514,-3.8452,12.365391,3,3.1,-7.3844395,Fe_N_din6_s_c0,-608.718,1.3854394999999613,#0000ff
Cu_Fe_N_din4_x2_c2_c,-629.999,Cu,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Cu_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,Cu,-4.23458825,63.546,196,112,115,46.5,0.57,-2.926845,1.9,1.08,1.235,132,29,7.72638,20.29239,0.88,1.16,1.191,1.47,4.55,-4.8401,-4.0099,36.542172,4,4.1,-4.23458825,Fe_N_din4_x2_c2_c,-627.765,2.0005882499999643,#800000
Fe_Fe_N_din4_x2_c2_b,-638.422,Fe,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Fe_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,Fe,-8.6197175,55.845,204,116,109,62.0,0.63,-1.906729,1.83,1.67,0.151,132,26,7.9024678,16.1992,0.95,1.16,1.227,1.77,4.93,-3.5769,-3.5542,12.365391,5,5.1,-8.6197175,Fe_N_din4_x2_c2_b,-626.094,-3.7082824999999957,#ffff00
Fe_Fe_N_din4_x2_c2_c,-634.044,Fe,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Fe_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,Fe,-8.6197175,55.845,204,116,109,62.0,0.63,-1.906729,1.83,1.67,0.151,132,26,7.9024678,16.1992,0.95,1.16,1.227,1.77,4.93,-3.5769,-3.5542,12.365391,5,5.1,-8.6197175,Fe_N_din4_x2_c2_c,-627.765,2.3407174999999825,#ffff00
Fe_Fe_N_din4_x2_c2_e_v2,-638.421,Fe,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e_v2,2,Fe_N_din4_x2_c2_e_v2,din4_x2,Fe_N_din4_x2_c2_e_v2,N_din4_x2_c2_e,-616.48,N,din4,Fe,-8.6197175,55.845,204,116,109,62.0,0.63,-1.906729,1.83,1.67,0.151,132,26,7.9024678,16.1992,0.95,1.16,1.227,1.77,4.93,-3.5769,-3.5542,12.365391,5,5.1,-8.6197175,Fe_N_din4_x2_c2_e_v2,-626.111,-3.6902825000000803,#ffff00
Ir_Fe_N_din6_s_c0,-615.682,Ir,Fe,N,din6,N_din6_s_c0,N_din6_s_c0,0,Ir_N_din6_s_c0,din6_s,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,Ir,-9.56008375,192.217,213,122,115,54.0,0.68,-3.868823,2.2,1.87,1.5638,141,77,8.96702,17.0,1.16,1.468,1.227,1.83,5.55,-4.68,-4.614,27.414532,6,6.1,-9.56008375,Fe_N_din6_s_c0,-608.718,2.5960837499999343,#000080
Ir_Fe_N_din6_s_c1,-615.973,Ir,Fe,N,din6,N_din6_s_c1,N_din6_s_c1,1,Ir_N_din6_s_c1,din6_s,Fe_N_din6_s_c1,N_din6_s_c1,-599.834,N,din6,Ir,-9.56008375,192.217,213,122,115,54.0,0.68,-3.868823,2.2,1.87,1.5638,141,77,8.96702,17.0,1.16,1.468,1.227,1.83,5.55,-4.68,-4.614,27.414532,6,6.1,-9.56008375,Fe_N_din6_s_c1,-608.739,2.326083750000066,#000080
Ir_Fe_N_din6_s_c2_12,-615.939,Ir,Fe,N,din6,N_din6_s_c2_12,N_din6_s_c2_12,2,Ir_N_din6_s_c2_12,din6_s,Fe_N_din6_s_c2_12,N_din6_s_c2_12,-598.699,N,din6,Ir,-9.56008375,192.217,213,122,115,54.0,0.68,-3.868823,2.2,1.87,1.5638,141,77,8.96702,17.0,1.16,1.468,1.227,1.83,5.55,-4.68,-4.614,27.414532,6,6.1,-9.56008375,Fe_N_din6_s_c2_12,-608.705,2.326083750000066,#000080
