system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,metal,Ecoh,atomic_mass,vdw_radius,r_cov_sb,r_cov_db,dipole_polarizability,ionic_radii_crystals,d_center_sp,Paul_electroneg,MB_electroneg,electron_affinity,covalent_radius,atomic_number,Ion_energ_I,Ion_energ_II,Zung_radius,Coh_radius,Waber_radius,mied_param_h,mied_param_phi,HOMO ,LUMO,mag_moment_bulk_d, E_Fermi,E_Fermi2,Ecoh_m1,system,tot_energy_M2,Edft_fe
Pt_Fe_C_din4_x2_c6,-634.83,Pt,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Pt_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Pt,-6.8665185,195.084,213,123,112,48.0,0.6,-3.353229,2.2,1.91,2.128,136,78,8.95883,18.56,1.24,1.46,1.221,1.78,5.65,-5.3211,-5.2186,31.475568,10,10.1,-6.8665185,Fe_C_din4_x2_c6,-625.429,-2.5344815000000835
Rh_Fe_C_din4_x2_c6,-633.731,Rh,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Rh_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Rh,-7.850822,102.9055,210,125,110,66.0,0.665,-3.069932,2.28,1.99,1.137,142,45,7.4589,18.08,1.11,1.41,1.364,1.76,5.4,-4.6611,-4.2897,29.253779,11,11.1,-7.850822,Fe_C_din4_x2_c6,-625.429,-0.45117800000002717
Ru_Fe_C_din4_x2_c6,-635.29,Ru,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Ru_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Ru,-9.8124665,101.07,213,125,114,72.0,0.68,-3.193722,2.2,1.97,1.05,146,44,7.3605,16.76,1.145,1.46,1.41,1.83,5.4,-3.9951,-3.6556,13.072705,12,12.1,-9.8124665,Fe_C_din4_x2_c6,-625.429,-0.04853349999996226
Zn_Fe_C_din4_x2_c6,-628.181,Zn,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Zn_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Zn,-1.61724415,65.38,201,118,120,38.67,0.6,-7.791121,1.65,1.44,-0.62,122,30,9.394199,17.96439,0.82,1.06,1.065,1.32,4.1,-3.0469,-2.5297,20.965413,13,13.1,-1.61724415,Fe_C_din4_x2_c6,-625.429,-1.1347558500000332
Ag_Fe_N_din4_x2_c0,-629.472,Ag,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Ag_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Ag,-3.20700575,107.8682,211,128,139,55.0,0.67,-4.428868,1.93,1.07,1.302,145,47,7.576234,21.4844,1.045,1.33,1.286,1.39,4.45,-4.6571,-3.8832,36.830452,0,0.1,-3.20700575,Fe_N_din4_x2_c0,-627.485,1.2200057500000412
Au_Fe_N_din4_x2_c0,-630.589,Au,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Au_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Au,-3.8767095,196.966569,214,124,121,36.0,0.68,-4.095292,2.4,1.19,2.30863,136,79,9.225553,20.203,1.21,1.45,1.187,1.57,5.15,-6.623,-5.2894,36.974733,1,1.1,-3.8767095,Fe_N_din4_x2_c0,-627.485,0.7727094999999053
Cd_Fe_N_din4_x2_c0,-628.529,Cd,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Cd_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Cd,-1.2330587,112.414,218,136,144,46.0,0.78,-9.00195,1.69,1.4,-0.72,144,48,8.993822,16.908312,0.985,1.23,1.184,1.24,4.05,-5.5936,-1.1349,18.447707,2,2.1,-1.2330587,Fe_N_din4_x2_c0,-627.485,0.18905870000003233
Co_Fe_N_din4_x2_c0,-637.499,Co,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Co_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Co,-7.3844395,58.933194,200,111,103,55.0,0.58,-2.118685,1.88,1.72,0.6622,126,27,7.88101,17.0844,0.92,1.1,1.181,1.75,5.1,-3.9514,-3.8452,12.365391,3,3.1,-7.3844395,Fe_N_din4_x2_c0,-627.485,-2.629560500000025
Cu_Fe_N_din4_x2_c0,-632.182,Cu,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Cu_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Cu,-4.23458825,63.546,196,112,115,46.5,0.57,-2.926845,1.9,1.08,1.235,132,29,7.72638,20.29239,0.88,1.16,1.191,1.47,4.55,-4.8401,-4.0099,36.542172,4,4.1,-4.23458825,Fe_N_din4_x2_c0,-627.485,-0.4624117500000011
Fe_Fe_N_din4_x2_c0,-639.053,Fe,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Fe_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Fe,-8.6197175,55.845,204,116,109,62.0,0.63,-1.906729,1.83,1.67,0.151,132,26,7.9024678,16.1992,0.95,1.16,1.227,1.77,4.93,-3.5769,-3.5542,12.365391,5,5.1,-8.6197175,Fe_N_din4_x2_c0,-627.485,-2.948282500000005
