system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,metal,Ecoh,atomic_mass,vdw_radius,r_cov_sb,r_cov_db,dipole_polarizability,ionic_radii_crystals,d_center_sp,Paul_electroneg,MB_electroneg,electron_affinity,covalent_radius,atomic_number,Ion_energ_I,Ion_energ_II,Zung_radius,Coh_radius,Waber_radius,mied_param_h,mied_param_phi,HOMO ,LUMO,mag_moment_bulk_d, E_Fermi,E_Fermi2,Ecoh_m1,system,tot_energy_M2,Edft_fe
Co_Fe_N_din4_x2_c2_c,-632.627,Co,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Co_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,Co,-7.3844395,58.933194,200,111,103,55.0,0.58,-2.118685,1.88,1.72,0.6622,126,27,7.88101,17.0844,0.92,1.1,1.181,1.75,5.1,-3.9514,-3.8452,12.365391,3,3.1,-7.3844395,Fe_N_din4_x2_c2_c,-627.765,2.5224395000000186
Cu_Fe_N_din4_x2_c2_c,-629.999,Cu,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Cu_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,Cu,-4.23458825,63.546,196,112,115,46.5,0.57,-2.926845,1.9,1.08,1.235,132,29,7.72638,20.29239,0.88,1.16,1.191,1.47,4.55,-4.8401,-4.0099,36.542172,4,4.1,-4.23458825,Fe_N_din4_x2_c2_c,-627.765,2.0005882499999643
Fe_Fe_N_din4_x2_c2_c,-634.044,Fe,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Fe_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,Fe,-8.6197175,55.845,204,116,109,62.0,0.63,-1.906729,1.83,1.67,0.151,132,26,7.9024678,16.1992,0.95,1.16,1.227,1.77,4.93,-3.5769,-3.5542,12.365391,5,5.1,-8.6197175,Fe_N_din4_x2_c2_c,-627.765,2.3407174999999825
Ir_Fe_N_din4_x2_c2_c,-638.798,Ir,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Ir_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,Ir,-9.56008375,192.217,213,122,115,54.0,0.68,-3.868823,2.2,1.87,1.5638,141,77,8.96702,17.0,1.16,1.468,1.227,1.83,5.55,-4.68,-4.614,27.414532,6,6.1,-9.56008375,Fe_N_din4_x2_c2_c,-627.765,-1.4729162500000257
Ni_Fe_N_din4_x2_c2_c,-631.322,Ni,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Ni_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,Ni,-5.86878875,58.6934,197,110,101,49.0,0.49,-2.07977,1.91,1.76,1.156,124,28,7.639877,18.168837,0.96,1.22,1.139,1.75,5.2,-3.8312,-3.8116,32.738905,7,7.1,-5.86878875,Fe_N_din4_x2_c2_c,-627.765,2.311788750000005
Os_Fe_N_din4_x2_c2_c,-640.555,Os,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Os_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,Os,-11.839378,190.23,216,129,116,57.0,0.39,-3.768764,2.2,1.85,1.1,144,76,8.43823,17.0,1.17,1.48,1.266,1.85,5.4,-4.8388,-4.7568,11.933888,8,8.1,-11.839378,Fe_N_din4_x2_c2_c,-627.765,-0.950621999999953
Pd_Fe_N_din4_x2_c2_c,-634.748,Pd,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Pd_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,Pd,-5.79450325,106.42,210,120,117,26.14,0.64,-2.545322,2.2,2.08,0.562,139,46,8.33686,19.43,1.08,1.37,0.0,1.67,5.45,-3.9539,-3.2835,33.052647,9,9.1,-5.79450325,Fe_N_din4_x2_c2_c,-627.765,-1.188496750000013
Pt_Fe_N_din4_x2_c2_c,-636.121,Pt,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Pt_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,Pt,-6.8665185,195.084,213,123,112,48.0,0.6,-3.353229,2.2,1.91,2.128,136,78,8.95883,18.56,1.24,1.46,1.221,1.78,5.65,-5.3211,-5.2186,31.475568,10,10.1,-6.8665185,Fe_N_din4_x2_c2_c,-627.765,-1.4894815000000108
Rh_Fe_N_din4_x2_c2_c,-637.274,Rh,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Rh_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,Rh,-7.850822,102.9055,210,125,110,66.0,0.665,-3.069932,2.28,1.99,1.137,142,45,7.4589,18.08,1.11,1.41,1.364,1.76,5.4,-4.6611,-4.2897,29.253779,11,11.1,-7.850822,Fe_N_din4_x2_c2_c,-627.765,-1.6581780000000208
Ru_Fe_N_din4_x2_c2_c,-638.759,Ru,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Ru_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,Ru,-9.8124665,101.07,213,125,114,72.0,0.68,-3.193722,2.2,1.97,1.05,146,44,7.3605,16.76,1.145,1.46,1.41,1.83,5.4,-3.9951,-3.6556,13.072705,12,12.1,-9.8124665,Fe_N_din4_x2_c2_c,-627.765,-1.1815335000000005
Zn_Fe_N_din4_x2_c2_c,-628.47,Zn,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Zn_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,Zn,-1.61724415,65.38,201,118,120,38.67,0.6,-7.791121,1.65,1.44,-0.62,122,30,9.394199,17.96439,0.82,1.06,1.065,1.32,4.1,-3.0469,-2.5297,20.965413,13,13.1,-1.61724415,Fe_N_din4_x2_c2_c,-627.765,0.9122441499999923
Ag_Fe_N_din4_x2_c2_d,-630.136,Ag,Fe,N,din4,N_din4_x2_c2_d,N_din4_x2_c2_d,2,Ag_N_din4_x2_c2_d,din4_x2,Fe_N_din4_x2_c2_d,N_din4_x2_c2_d,-615.769,N,din4,Ag,-3.20700575,107.8682,211,128,139,55.0,0.67,-4.428868,1.93,1.07,1.302,145,47,7.576234,21.4844,1.045,1.33,1.286,1.39,4.45,-4.6571,-3.8832,36.830452,0,0.1,-3.20700575,Fe_N_din4_x2_c2_d,-627.784,0.8550057500000321
Au_Fe_N_din4_x2_c2_d,-631.36,Au,Fe,N,din4,N_din4_x2_c2_d,N_din4_x2_c2_d,2,Au_N_din4_x2_c2_d,din4_x2,Fe_N_din4_x2_c2_d,N_din4_x2_c2_d,-615.769,N,din4,Au,-3.8767095,196.966569,214,124,121,36.0,0.68,-4.095292,2.4,1.19,2.30863,136,79,9.225553,20.203,1.21,1.45,1.187,1.57,5.15,-6.623,-5.2894,36.974733,1,1.1,-3.8767095,Fe_N_din4_x2_c2_d,-627.784,0.30070949999992536
Cd_Fe_N_din4_x2_c2_d,-628.235,Cd,Fe,N,din4,N_din4_x2_c2_d,N_din4_x2_c2_d,2,Cd_N_din4_x2_c2_d,din4_x2,Fe_N_din4_x2_c2_d,N_din4_x2_c2_d,-615.769,N,din4,Cd,-1.2330587,112.414,218,136,144,46.0,0.78,-9.00195,1.69,1.4,-0.72,144,48,8.993822,16.908312,0.985,1.23,1.184,1.24,4.05,-5.5936,-1.1349,18.447707,2,2.1,-1.2330587,Fe_N_din4_x2_c2_d,-627.784,0.7820586999999932
Co_Fe_N_din4_x2_c2_d,-637.653,Co,Fe,N,din4,N_din4_x2_c2_d,N_din4_x2_c2_d,2,Co_N_din4_x2_c2_d,din4_x2,Fe_N_din4_x2_c2_d,N_din4_x2_c2_d,-615.769,N,din4,Co,-7.3844395,58.933194,200,111,103,55.0,0.58,-2.118685,1.88,1.72,0.6622,126,27,7.88101,17.0844,0.92,1.1,1.181,1.75,5.1,-3.9514,-3.8452,12.365391,3,3.1,-7.3844395,Fe_N_din4_x2_c2_d,-627.784,-2.4845605000000432
Cu_Fe_N_din4_x2_c2_d,-632.669,Cu,Fe,N,din4,N_din4_x2_c2_d,N_din4_x2_c2_d,2,Cu_N_din4_x2_c2_d,din4_x2,Fe_N_din4_x2_c2_d,N_din4_x2_c2_d,-615.769,N,din4,Cu,-4.23458825,63.546,196,112,115,46.5,0.57,-2.926845,1.9,1.08,1.235,132,29,7.72638,20.29239,0.88,1.16,1.191,1.47,4.55,-4.8401,-4.0099,36.542172,4,4.1,-4.23458825,Fe_N_din4_x2_c2_d,-627.784,-0.6504117499999893
Fe_Fe_N_din4_x2_c2_d,-638.806,Fe,Fe,N,din4,N_din4_x2_c2_d,N_din4_x2_c2_d,2,Fe_N_din4_x2_c2_d,din4_x2,Fe_N_din4_x2_c2_d,N_din4_x2_c2_d,-615.769,N,din4,Fe,-8.6197175,55.845,204,116,109,62.0,0.63,-1.906729,1.83,1.67,0.151,132,26,7.9024678,16.1992,0.95,1.16,1.227,1.77,4.93,-3.5769,-3.5542,12.365391,5,5.1,-8.6197175,Fe_N_din4_x2_c2_d,-627.784,-2.4022825000000694
Ir_Fe_N_din4_x2_c2_d,-638.83,Ir,Fe,N,din4,N_din4_x2_c2_d,N_din4_x2_c2_d,2,Ir_N_din4_x2_c2_d,din4_x2,Fe_N_din4_x2_c2_d,N_din4_x2_c2_d,-615.769,N,din4,Ir,-9.56008375,192.217,213,122,115,54.0,0.68,-3.868823,2.2,1.87,1.5638,141,77,8.96702,17.0,1.16,1.468,1.227,1.83,5.55,-4.68,-4.614,27.414532,6,6.1,-9.56008375,Fe_N_din4_x2_c2_d,-627.784,-1.4859162500000593
Ni_Fe_N_din4_x2_c2_d,-635.805,Ni,Fe,N,din4,N_din4_x2_c2_d,N_din4_x2_c2_d,2,Ni_N_din4_x2_c2_d,din4_x2,Fe_N_din4_x2_c2_d,N_din4_x2_c2_d,-615.769,N,din4,Ni,-5.86878875,58.6934,197,110,101,49.0,0.49,-2.07977,1.91,1.76,1.156,124,28,7.639877,18.168837,0.96,1.22,1.139,1.75,5.2,-3.8312,-3.8116,32.738905,7,7.1,-5.86878875,Fe_N_din4_x2_c2_d,-627.784,-2.1522112499999366
Os_Fe_N_din4_x2_c2_d,-640.562,Os,Fe,N,din4,N_din4_x2_c2_d,N_din4_x2_c2_d,2,Os_N_din4_x2_c2_d,din4_x2,Fe_N_din4_x2_c2_d,N_din4_x2_c2_d,-615.769,N,din4,Os,-11.839378,190.23,216,129,116,57.0,0.39,-3.768764,2.2,1.85,1.1,144,76,8.43823,17.0,1.17,1.48,1.266,1.85,5.4,-4.8388,-4.7568,11.933888,8,8.1,-11.839378,Fe_N_din4_x2_c2_d,-627.784,-0.9386220000000094
Pd_Fe_N_din4_x2_c2_d,-634.731,Pd,Fe,N,din4,N_din4_x2_c2_d,N_din4_x2_c2_d,2,Pd_N_din4_x2_c2_d,din4_x2,Fe_N_din4_x2_c2_d,N_din4_x2_c2_d,-615.769,N,din4,Pd,-5.79450325,106.42,210,120,117,26.14,0.64,-2.545322,2.2,2.08,0.562,139,46,8.33686,19.43,1.08,1.37,0.0,1.67,5.45,-3.9539,-3.2835,33.052647,9,9.1,-5.79450325,Fe_N_din4_x2_c2_d,-627.784,-1.1524967499999548
Pt_Fe_N_din4_x2_c2_d,-636.11,Pt,Fe,N,din4,N_din4_x2_c2_d,N_din4_x2_c2_d,2,Pt_N_din4_x2_c2_d,din4_x2,Fe_N_din4_x2_c2_d,N_din4_x2_c2_d,-615.769,N,din4,Pt,-6.8665185,195.084,213,123,112,48.0,0.6,-3.353229,2.2,1.91,2.128,136,78,8.95883,18.56,1.24,1.46,1.221,1.78,5.65,-5.3211,-5.2186,31.475568,10,10.1,-6.8665185,Fe_N_din4_x2_c2_d,-627.784,-1.459481500000038
Rh_Fe_N_din4_x2_c2_d,-637.298,Rh,Fe,N,din4,N_din4_x2_c2_d,N_din4_x2_c2_d,2,Rh_N_din4_x2_c2_d,din4_x2,Fe_N_din4_x2_c2_d,N_din4_x2_c2_d,-615.769,N,din4,Rh,-7.850822,102.9055,210,125,110,66.0,0.665,-3.069932,2.28,1.99,1.137,142,45,7.4589,18.08,1.11,1.41,1.364,1.76,5.4,-4.6611,-4.2897,29.253779,11,11.1,-7.850822,Fe_N_din4_x2_c2_d,-627.784,-1.6631780000000163
Ru_Fe_N_din4_x2_c2_d,-638.773,Ru,Fe,N,din4,N_din4_x2_c2_d,N_din4_x2_c2_d,2,Ru_N_din4_x2_c2_d,din4_x2,Fe_N_din4_x2_c2_d,N_din4_x2_c2_d,-615.769,N,din4,Ru,-9.8124665,101.07,213,125,114,72.0,0.68,-3.193722,2.2,1.97,1.05,146,44,7.3605,16.76,1.145,1.46,1.41,1.83,5.4,-3.9951,-3.6556,13.072705,12,12.1,-9.8124665,Fe_N_din4_x2_c2_d,-627.784,-1.176533500000005
Zn_Fe_N_din4_x2_c2_d,-628.68,Zn,Fe,N,din4,N_din4_x2_c2_d,N_din4_x2_c2_d,2,Zn_N_din4_x2_c2_d,din4_x2,Fe_N_din4_x2_c2_d,N_din4_x2_c2_d,-615.769,N,din4,Zn,-1.61724415,65.38,201,118,120,38.67,0.6,-7.791121,1.65,1.44,-0.62,122,30,9.394199,17.96439,0.82,1.06,1.065,1.32,4.1,-3.0469,-2.5297,20.965413,13,13.1,-1.61724415,Fe_N_din4_x2_c2_d,-627.784,0.721244150000075
Ag_Fe_N_din4_x2_c2_e,-629.95,Ag,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e,2,Ag_N_din4_x2_c2_e,din4_x2,Fe_N_din4_x2_c2_e,N_din4_x2_c2_e,-616.48,N,din4,Ag,-3.20700575,107.8682,211,128,139,55.0,0.67,-4.428868,1.93,1.07,1.302,145,47,7.576234,21.4844,1.045,1.33,1.286,1.39,4.45,-4.6571,-3.8832,36.830452,0,0.1,-3.20700575,Fe_N_din4_x2_c2_e,-628.016,1.2730057499999248
Au_Fe_N_din4_x2_c2_e,-631.259,Au,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e,2,Au_N_din4_x2_c2_e,din4_x2,Fe_N_din4_x2_c2_e,N_din4_x2_c2_e,-616.48,N,din4,Au,-3.8767095,196.966569,214,124,121,36.0,0.68,-4.095292,2.4,1.19,2.30863,136,79,9.225553,20.203,1.21,1.45,1.187,1.57,5.15,-6.623,-5.2894,36.974733,1,1.1,-3.8767095,Fe_N_din4_x2_c2_e,-628.016,0.6337094999998953
Cd_Fe_N_din4_x2_c2_e,-627.674,Cd,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e,2,Cd_N_din4_x2_c2_e,din4_x2,Fe_N_din4_x2_c2_e,N_din4_x2_c2_e,-616.48,N,din4,Cd,-1.2330587,112.414,218,136,144,46.0,0.78,-9.00195,1.69,1.4,-0.72,144,48,8.993822,16.908312,0.985,1.23,1.184,1.24,4.05,-5.5936,-1.1349,18.447707,2,2.1,-1.2330587,Fe_N_din4_x2_c2_e,-628.016,1.5750586999999996
Co_Fe_N_din4_x2_c2_e,-637.41,Co,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e,2,Co_N_din4_x2_c2_e,din4_x2,Fe_N_din4_x2_c2_e,N_din4_x2_c2_e,-616.48,N,din4,Co,-7.3844395,58.933194,200,111,103,55.0,0.58,-2.118685,1.88,1.72,0.6622,126,27,7.88101,17.0844,0.92,1.1,1.181,1.75,5.1,-3.9514,-3.8452,12.365391,3,3.1,-7.3844395,Fe_N_din4_x2_c2_e,-628.016,-2.0095605000000205
Cu_Fe_N_din4_x2_c2_e,-632.51,Cu,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e,2,Cu_N_din4_x2_c2_e,din4_x2,Fe_N_din4_x2_c2_e,N_din4_x2_c2_e,-616.48,N,din4,Cu,-4.23458825,63.546,196,112,115,46.5,0.57,-2.926845,1.9,1.08,1.235,132,29,7.72638,20.29239,0.88,1.16,1.191,1.47,4.55,-4.8401,-4.0099,36.542172,4,4.1,-4.23458825,Fe_N_din4_x2_c2_e,-628.016,-0.2594117500000266
Fe_Fe_N_din4_x2_c2_e,-638.421,Fe,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e,2,Fe_N_din4_x2_c2_e,din4_x2,Fe_N_din4_x2_c2_e,N_din4_x2_c2_e,-616.48,N,din4,Fe,-8.6197175,55.845,204,116,109,62.0,0.63,-1.906729,1.83,1.67,0.151,132,26,7.9024678,16.1992,0.95,1.16,1.227,1.77,4.93,-3.5769,-3.5542,12.365391,5,5.1,-8.6197175,Fe_N_din4_x2_c2_e,-628.016,-1.7852825000001076
Ir_Fe_N_din4_x2_c2_e,-638.551,Ir,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e,2,Ir_N_din4_x2_c2_e,din4_x2,Fe_N_din4_x2_c2_e,N_din4_x2_c2_e,-616.48,N,din4,Ir,-9.56008375,192.217,213,122,115,54.0,0.68,-3.868823,2.2,1.87,1.5638,141,77,8.96702,17.0,1.16,1.468,1.227,1.83,5.55,-4.68,-4.614,27.414532,6,6.1,-9.56008375,Fe_N_din4_x2_c2_e,-628.016,-0.9749162500000921
Ni_Fe_N_din4_x2_c2_e,-635.709,Ni,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e,2,Ni_N_din4_x2_c2_e,din4_x2,Fe_N_din4_x2_c2_e,N_din4_x2_c2_e,-616.48,N,din4,Ni,-5.86878875,58.6934,197,110,101,49.0,0.49,-2.07977,1.91,1.76,1.156,124,28,7.639877,18.168837,0.96,1.22,1.139,1.75,5.2,-3.8312,-3.8116,32.738905,7,7.1,-5.86878875,Fe_N_din4_x2_c2_e,-628.016,-1.824211249999962
Os_Fe_N_din4_x2_c2_e,-639.929,Os,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e,2,Os_N_din4_x2_c2_e,din4_x2,Fe_N_din4_x2_c2_e,N_din4_x2_c2_e,-616.48,N,din4,Os,-11.839378,190.23,216,129,116,57.0,0.39,-3.768764,2.2,1.85,1.1,144,76,8.43823,17.0,1.17,1.48,1.266,1.85,5.4,-4.8388,-4.7568,11.933888,8,8.1,-11.839378,Fe_N_din4_x2_c2_e,-628.016,-0.0736220000000003
Pd_Fe_N_din4_x2_c2_e,-634.502,Pd,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e,2,Pd_N_din4_x2_c2_e,din4_x2,Fe_N_din4_x2_c2_e,N_din4_x2_c2_e,-616.48,N,din4,Pd,-5.79450325,106.42,210,120,117,26.14,0.64,-2.545322,2.2,2.08,0.562,139,46,8.33686,19.43,1.08,1.37,0.0,1.67,5.45,-3.9539,-3.2835,33.052647,9,9.1,-5.79450325,Fe_N_din4_x2_c2_e,-628.016,-0.691496749999942
Pt_Fe_N_din4_x2_c2_e,-635.975,Pt,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e,2,Pt_N_din4_x2_c2_e,din4_x2,Fe_N_din4_x2_c2_e,N_din4_x2_c2_e,-616.48,N,din4,Pt,-6.8665185,195.084,213,123,112,48.0,0.6,-3.353229,2.2,1.91,2.128,136,78,8.95883,18.56,1.24,1.46,1.221,1.78,5.65,-5.3211,-5.2186,31.475568,10,10.1,-6.8665185,Fe_N_din4_x2_c2_e,-628.016,-1.0924815000000763
Rh_Fe_N_din4_x2_c2_e,-636.961,Rh,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e,2,Rh_N_din4_x2_c2_e,din4_x2,Fe_N_din4_x2_c2_e,N_din4_x2_c2_e,-616.48,N,din4,Rh,-7.850822,102.9055,210,125,110,66.0,0.665,-3.069932,2.28,1.99,1.137,142,45,7.4589,18.08,1.11,1.41,1.364,1.76,5.4,-4.6611,-4.2897,29.253779,11,11.1,-7.850822,Fe_N_din4_x2_c2_e,-628.016,-1.0941780000000563
Ru_Fe_N_din4_x2_c2_e,-638.256,Ru,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e,2,Ru_N_din4_x2_c2_e,din4_x2,Fe_N_din4_x2_c2_e,N_din4_x2_c2_e,-616.48,N,din4,Ru,-9.8124665,101.07,213,125,114,72.0,0.68,-3.193722,2.2,1.97,1.05,146,44,7.3605,16.76,1.145,1.46,1.41,1.83,5.4,-3.9951,-3.6556,13.072705,12,12.1,-9.8124665,Fe_N_din4_x2_c2_e,-628.016,-0.42753349999998136
Zn_Fe_N_din4_x2_c2_e,-629.176,Zn,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e,2,Zn_N_din4_x2_c2_e,din4_x2,Fe_N_din4_x2_c2_e,N_din4_x2_c2_e,-616.48,N,din4,Zn,-1.61724415,65.38,201,118,120,38.67,0.6,-7.791121,1.65,1.44,-0.62,122,30,9.394199,17.96439,0.82,1.06,1.065,1.32,4.1,-3.0469,-2.5297,20.965413,13,13.1,-1.61724415,Fe_N_din4_x2_c2_e,-628.016,0.45724414999995133
Ag_Fe_N_din4_x2_c2_e_v2,-628.51,Ag,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e_v2,2,Ag_N_din4_x2_c2_e_v2,din4_x2,Fe_N_din4_x2_c2_e_v2,N_din4_x2_c2_e,-616.48,N,din4,Ag,-3.20700575,107.8682,211,128,139,55.0,0.67,-4.428868,1.93,1.07,1.302,145,47,7.576234,21.4844,1.045,1.33,1.286,1.39,4.45,-4.6571,-3.8832,36.830452,0,0.1,-3.20700575,Fe_N_din4_x2_c2_e_v2,-626.111,0.8080057500000066
Au_Fe_N_din4_x2_c2_e_v2,-630.574,Au,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e_v2,2,Au_N_din4_x2_c2_e_v2,din4_x2,Fe_N_din4_x2_c2_e_v2,N_din4_x2_c2_e,-616.48,N,din4,Au,-3.8767095,196.966569,214,124,121,36.0,0.68,-4.095292,2.4,1.19,2.30863,136,79,9.225553,20.203,1.21,1.45,1.187,1.57,5.15,-6.623,-5.2894,36.974733,1,1.1,-3.8767095,Fe_N_din4_x2_c2_e_v2,-626.111,-0.5862905000000183
Cd_Fe_N_din4_x2_c2_e_v2,-626.971,Cd,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e_v2,2,Cd_N_din4_x2_c2_e_v2,din4_x2,Fe_N_din4_x2_c2_e_v2,N_din4_x2_c2_e,-616.48,N,din4,Cd,-1.2330587,112.414,218,136,144,46.0,0.78,-9.00195,1.69,1.4,-0.72,144,48,8.993822,16.908312,0.985,1.23,1.184,1.24,4.05,-5.5936,-1.1349,18.447707,2,2.1,-1.2330587,Fe_N_din4_x2_c2_e_v2,-626.111,0.3730587000000014
Co_Fe_N_din4_x2_c2_e_v2,-637.336,Co,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e_v2,2,Co_N_din4_x2_c2_e_v2,din4_x2,Fe_N_din4_x2_c2_e_v2,N_din4_x2_c2_e,-616.48,N,din4,Co,-7.3844395,58.933194,200,111,103,55.0,0.58,-2.118685,1.88,1.72,0.6622,126,27,7.88101,17.0844,0.92,1.1,1.181,1.75,5.1,-3.9514,-3.8452,12.365391,3,3.1,-7.3844395,Fe_N_din4_x2_c2_e_v2,-626.111,-3.840560500000038
Cu_Fe_N_din4_x2_c2_e_v2,-631.009,Cu,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e_v2,2,Cu_N_din4_x2_c2_e_v2,din4_x2,Fe_N_din4_x2_c2_e_v2,N_din4_x2_c2_e,-616.48,N,din4,Cu,-4.23458825,63.546,196,112,115,46.5,0.57,-2.926845,1.9,1.08,1.235,132,29,7.72638,20.29239,0.88,1.16,1.191,1.47,4.55,-4.8401,-4.0099,36.542172,4,4.1,-4.23458825,Fe_N_din4_x2_c2_e_v2,-626.111,-0.663411750000023
Fe_Fe_N_din4_x2_c2_e_v2,-638.421,Fe,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e_v2,2,Fe_N_din4_x2_c2_e_v2,din4_x2,Fe_N_din4_x2_c2_e_v2,N_din4_x2_c2_e,-616.48,N,din4,Fe,-8.6197175,55.845,204,116,109,62.0,0.63,-1.906729,1.83,1.67,0.151,132,26,7.9024678,16.1992,0.95,1.16,1.227,1.77,4.93,-3.5769,-3.5542,12.365391,5,5.1,-8.6197175,Fe_N_din4_x2_c2_e_v2,-626.111,-3.6902825000000803
Ir_Fe_N_din4_x2_c2_e_v2,-638.506,Ir,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e_v2,2,Ir_N_din4_x2_c2_e_v2,din4_x2,Fe_N_din4_x2_c2_e_v2,N_din4_x2_c2_e,-616.48,N,din4,Ir,-9.56008375,192.217,213,122,115,54.0,0.68,-3.868823,2.2,1.87,1.5638,141,77,8.96702,17.0,1.16,1.468,1.227,1.83,5.55,-4.68,-4.614,27.414532,6,6.1,-9.56008375,Fe_N_din4_x2_c2_e_v2,-626.111,-2.834916249999992
Ni_Fe_N_din4_x2_c2_e_v2,-635.473,Ni,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e_v2,2,Ni_N_din4_x2_c2_e_v2,din4_x2,Fe_N_din4_x2_c2_e_v2,N_din4_x2_c2_e,-616.48,N,din4,Ni,-5.86878875,58.6934,197,110,101,49.0,0.49,-2.07977,1.91,1.76,1.156,124,28,7.639877,18.168837,0.96,1.22,1.139,1.75,5.2,-3.8312,-3.8116,32.738905,7,7.1,-5.86878875,Fe_N_din4_x2_c2_e_v2,-626.111,-3.493211249999945
Os_Fe_N_din4_x2_c2_e_v2,-640.088,Os,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e_v2,2,Os_N_din4_x2_c2_e_v2,din4_x2,Fe_N_din4_x2_c2_e_v2,N_din4_x2_c2_e,-616.48,N,din4,Os,-11.839378,190.23,216,129,116,57.0,0.39,-3.768764,2.2,1.85,1.1,144,76,8.43823,17.0,1.17,1.48,1.266,1.85,5.4,-4.8388,-4.7568,11.933888,8,8.1,-11.839378,Fe_N_din4_x2_c2_e_v2,-626.111,-2.137621999999965
Pd_Fe_N_din4_x2_c2_e_v2,-634.437,Pd,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e_v2,2,Pd_N_din4_x2_c2_e_v2,din4_x2,Fe_N_din4_x2_c2_e_v2,N_din4_x2_c2_e,-616.48,N,din4,Pd,-5.79450325,106.42,210,120,117,26.14,0.64,-2.545322,2.2,2.08,0.562,139,46,8.33686,19.43,1.08,1.37,0.0,1.67,5.45,-3.9539,-3.2835,33.052647,9,9.1,-5.79450325,Fe_N_din4_x2_c2_e_v2,-626.111,-2.531496749999974
