system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,M1_cavity,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,Ecoh_m1,Ecoh_m2,E_dft_M1M2,color
Pd_Fe_N_din6_s_c0,-613.123,Pd,Fe,N,din6,N_din6_s_c0,Pd_N_din6_s_c0,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-5.79450325,-8.6197175,2.08822074999998,"rgb(0, 128, 128)"
Pd_Fe_N_din6_s_c1,-613.275,Pd,Fe,N,din6,N_din6_s_c1,Pd_N_din6_s_c1,Fe_N_din6_s_c1,N_din6_s_c1,-599.834,N,din6,-5.79450325,-8.6197175,0.973220749999969,"rgb(0, 128, 128)"
Pt_Fe_N_din4_x2_c4_f,-613.641,Pt,Fe,N,din4,N_din4_x2_c4_f,Pt_N_din4_x2_c4_f,Fe_N_din4_x2_c4_f,N_din4_x2_c4_f,-617.076,N,din4,-6.8665185,-8.6197175,18.9212360000001,"rgb(128, 128, 128)"
Pt_Fe_N_din6_s_c0,-613.489,Pt,Fe,N,din6,N_din6_s_c0,Pt_N_din6_s_c0,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-6.8665185,-8.6197175,2.79423599999999,"rgb(128, 128, 128)"
Pt_Fe_N_din6_s_c1,-613.839,Pt,Fe,N,din6,N_din6_s_c1,Pt_N_din6_s_c1,Fe_N_din6_s_c1,N_din6_s_c1,-599.834,N,din6,-6.8665185,-8.6197175,1.48123599999989,"rgb(128, 128, 128)"
Pt_Fe_N_din6_s_c2_02,-613.609,Pt,Fe,N,din6,N_din6_s_c2_02,Pt_N_din6_s_c2_02,Fe_N_din6_s_c2_02,N_din6_s_c2_02,-598.852,N,din6,-6.8665185,-8.6197175,0.729235999999938,"rgb(128, 128, 128)"
Rh_Fe_N_din4_x2_c1_b,-637.125,Rh,Fe,N,din4,N_din4_x2_c1_b,Rh_N_din4_x2_c1_b,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-7.850822,-8.6197175,-6.64746050000005,"rgb(0, 255, 0)"
Rh_Fe_N_din4_x2_c2_f,-636.775,Rh,Fe,N,din4,N_din4_x2_c2_f,Rh_N_din4_x2_c2_f,Fe_N_din4_x2_c2_f,N_din4_x2_c2_f,-613.375,N,din4,-7.850822,-8.6197175,-6.92946049999998,"rgb(0, 255, 0)"
Rh_Fe_N_din4_x2_c4_f,-613.094,Rh,Fe,N,din4,N_din4_x2_c4_f,Rh_N_din4_x2_c4_f,Fe_N_din4_x2_c4_f,N_din4_x2_c4_f,-617.076,N,din4,-7.850822,-8.6197175,20.4525395,"rgb(0, 255, 0)"
Rh_Fe_N_din6_s_c0,-614.979,Rh,Fe,N,din6,N_din6_s_c0,Rh_N_din6_s_c0,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-7.850822,-8.6197175,2.28853949999998,"rgb(0, 255, 0)"
Rh_Fe_N_din6_s_c1,-615.24,Rh,Fe,N,din6,N_din6_s_c1,Rh_N_din6_s_c1,Fe_N_din6_s_c1,N_din6_s_c1,-599.834,N,din6,-7.850822,-8.6197175,1.06453949999994,"rgb(0, 255, 0)"
Ru_Fe_N_din4_x2_c0,-638.992,Ru,Fe,N,din4,N_din4_x2_c0,Ru_N_din4_x2_c0,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,-9.8124665,-8.6197175,-6.26281599999994,"rgb(255, 0, 0)"
Ru_Fe_N_din4_x2_c1_b,-638.703,Ru,Fe,N,din4,N_din4_x2_c1_b,Ru_N_din4_x2_c1_b,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-9.8124665,-8.6197175,-6.26381600000003,"rgb(255, 0, 0)"
Ru_Fe_N_din4_x2_c4_f,-615.093,Ru,Fe,N,din4,N_din4_x2_c4_f,Ru_N_din4_x2_c4_f,Fe_N_din4_x2_c4_f,N_din4_x2_c4_f,-617.076,N,din4,-9.8124665,-8.6197175,20.4151840000001,"rgb(255, 0, 0)"
Ru_Fe_N_din6_s_c0,-616.415,Ru,Fe,N,din6,N_din6_s_c0,Ru_N_din6_s_c0,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-9.8124665,-8.6197175,2.81418400000006,"rgb(255, 0, 0)"
Zn_Fe_N_din4_x2_c4_f,-609.737,Zn,Fe,N,din4,N_din4_x2_c4_f,Zn_N_din4_x2_c4_f,Fe_N_din4_x2_c4_f,N_din4_x2_c4_f,-617.076,N,din4,-1.61724415,-8.6197175,17.5759616500001,"rgb(255, 0, 255)"
