system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,Ecoh_m1,Ecoh_m2,E_dft_M1M2,color
Cd_Fe_N_din4_x2_c2_b,-626.973,Cd,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Cd_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,-1.2330587,-8.6197175,-0.6402237999999372,red
Co_Fe_N_din4_x2_c2_b,-637.336,Co,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Co_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,-7.3844395,-8.6197175,-4.851842999999995,red
Cu_Fe_N_din4_x2_c2_b,-631.009,Cu,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Cu_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,-4.23458825,-8.6197175,-1.6746942499999964,red
Fe_Fe_N_din4_x2_c2_b,-638.422,Fe,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Fe_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,-8.6197175,-8.6197175,-4.702565000000007,red
Ir_Fe_N_din4_x2_c2_b,-638.506,Ir,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Ir_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,-9.56008375,-8.6197175,-3.846198749999953,red
Ni_Fe_N_din4_x2_c2_b,-635.316,Ni,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Ni_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,-5.86878875,-8.6197175,-4.347493750000012,red
Os_Fe_N_din4_x2_c2_b,-640.088,Os,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Os_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,-11.839378,-8.6197175,-3.148904499999947,red
Pd_Fe_N_din4_x2_c2_b,-634.287,Pd,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Pd_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,-5.79450325,-8.6197175,-3.3927792500000162,red
Pt_Fe_N_din4_x2_c2_b,-635.723,Pt,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Pt_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,-6.8665185,-8.6197175,-3.7567639999999383,red
Rh_Fe_N_din4_x2_c2_b,-637.071,Rh,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Rh_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,-7.850822,-8.6197175,-4.120460500000007,red
