cavity_v2,convex_hull_area,convex_hull_volume
N_din6_s_c0,42.368,0.073
N_din6_s_c1,35.412,0.057
N_din6_s_c2_01,21.231,0.02
N_din6_s_c2_02,28.481,0.035
N_din6_s_c2_12,21.224,0.021
N_din6_s_c2_15,28.476,0.019
