System,Metal,Hetatom,Cavity,Base_Cavity,y,Pred_00000,Train_00000,sac_cavity
Au_N_din4_c2_s2,Au,N,din4_c2_s2,din4,-2.44729049999996,-2.0159770151244,False,N_din4_c2_s2
Au_N_din3_c1,Au,N,din3_c1,din3,1.50070950000002,0.796703346841759,False,N_din3_c1
Au_N_rol2_din2_c2_s1,Au,N,rol2_din2_c2_s1,rol2_din2,-4.76529050000005,-3.93423886796637,False,N_rol2_din2_c2_s1
Au_N_rol1_din2_c2_s2,Au,N,rol1_din2_c2_s2,rol1_din2,1.85870950000008,0.688460890774124,False,N_rol1_din2_c2_s2
Au_N_rol3,Au,N,rol3,rol3,1.14870950000005,-0.753237502665798,False,N_rol3
Au_N_rol2_din2_c2_d1,Au,N,rol2_din2_c2_d1,rol2_din2,-3.72629050000007,-3.55952027903268,False,N_rol2_din2_c2_d1
Au_N_din4_c2_d1,Au,N,din4_c2_d1,din4,-1.94829050000005,-2.02000768368653,False,N_din4_c2_d1
Au_C_din3_c3,Au,C,din3_c3,din3,1.41470950000001,-0.486823286732859,False,C_din3_c3
Au_N_rol3_c2,Au,N,rol3_c2,rol3,-0.726290499999952,-1.91553906613724,False,N_rol3_c2
Au_N_din3,Au,N,din3,din3,2.36870949999996,1.10194460240977,False,N_din3
Au_N_rol2_din2_c3_b,Au,N,rol2_din2_c3_b,rol2_din2,-5.43929050000003,-4.61141403565076,False,N_rol2_din2_c3_b
Au_N_rol2_din2_c3_a,Au,N,rol2_din2_c3_a,rol2_din2,-5.47629049999995,-4.67829980759905,False,N_rol2_din2_c3_a
Au_N_din4_c2_d2,Au,N,din4_c2_d2,din4,-1.94829050000005,-2.01224106456178,False,N_din4_c2_d2
Au_C_rol2_din2_c4,Au,C,rol2_din2_c4,rol2_din2,-5.97129049999996,-4.85174613403222,False,C_rol2_din2_c4
Au_N_rol1_din2,Au,N,rol1_din2,rol1_din2,2.30970949999999,1.1945951610688,False,N_rol1_din2
Au_C_din4_c4,Au,C,din4_c4,din4,-0.781290500000015,-0.5106345796337,False,C_din4_c4
Au_N_din4,Au,N,din4,din4,0.3917095000001,-1.70431723209987,False,N_din4
Au_N_rol1_din2_c1_a,Au,N,rol1_din2_c1_a,rol1_din2,1.5017095,0.777453639056779,False,N_rol1_din2_c1_a
Au_C_rol3_c3,Au,C,rol3_c3,rol3,-1.4742905,-2.47514496439498,False,C_rol3_c3
Cd_N_rol1_din2_c2_s1,Cd,N,rol1_din2_c2_s1,rol1_din2,0.778058700000073,1.04799708887983,False,N_rol1_din2_c2_s1
Cd_N_rol1_din2_c1_b,Cd,N,rol1_din2_c1_b,rol1_din2,0.817058699999946,1.47890027946361,False,N_rol1_din2_c1_b
Cd_N_rol1_din2,Cd,N,rol1_din2,rol1_din2,0.55205869999996,1.59049237581689,False,N_rol1_din2
Cd_N_rol2_din2_c2_d1,Cd,N,rol2_din2_c2_d1,rol2_din2,-3.04194130000009,-3.21103771793742,False,N_rol2_din2_c2_d1
