"System","Metal","Hetatom","Cavity","Base_Cavity","y","Pred_00000","Train_00000"
"Zn_N_din4_c2_s2","Zn","N","din4_c2_s2","din4",-2.19475585000001,-2.24767788454687,"True"
"Rh_S_din4_c2_s2","Rh","S","din4_c2_s2","din4",0.396821999999935,0.284273774259333,"True"
"Au_P_din4","Au","P","din4","din4",2.21070949999995,0.607520658384285,"False"
"Ru_N_din3","Ru","N","din3","din3",2.2644665,1.7470332486254,"True"
"Ag_N_rol2_din2","Ag","N","rol2_din2","rol2_din2",-1.66499424999996,-2.1192934295466,"True"
"Cu_N_rol3_c1","Cu","N","rol3_c1","rol3",-1.61841175000007,-1.86628841155604,"True"
"Cd_S_rol1_din2_c2_s2","Cd","S","rol1_din2_c2_s2","rol1_din2",0.827058699999937,1.05179660581718,"True"
"Ag_P_rol2_din2_c2_s2","Ag","P","rol2_din2_c2_s2","rol2_din2",-1.59899425000004,-1.73277275160536,"True"
"Au_S_rol2_din2_c2_s2","Au","S","rol2_din2_c2_s2","rol2_din2",-1.13429049999997,-1.39132401728794,"False"
"Cu_S_rol2_din2_a","Cu","S","rol2_din2_a","rol2_din2",-0.038411750000025,0.022749333048241,"True"
"Ni_S_rol3_c1","Ni","S","rol3_c1","rol3",0.815788750000003,0.848870310078198,"True"
"Ni_S_rol2_din2_c2_s3","Ni","S","rol2_din2_c2_s3","rol2_din2",-3.00921125000004,-2.49796658384677,"True"
"Ru_S_din4_c2_d2","Ru","S","din4_c2_d2","din4",1.17846649999998,0.456711334821264,"True"
"Ni_P_din4_c1","Ni","P","din4_c1","din4",0.308788749999941,0.301293864347424,"True"
"Cu_S_din4","Cu","S","din4","din4",1.81858824999995,1.94774973874932,"True"
"Pd_N_rol2_din2_c2_s1","Pd","N","rol2_din2_c2_s1","rol2_din2",-4.66649675000001,-4.18651344384503,"True"
"Ru_S_din4_c2_s2","Ru","S","din4_c2_s2","din4",1.18646649999991,0.790156490141514,"True"
"Rh_P_rol3","Rh","P","rol3","rol3",0.220822000000004,0.843838368599203,"True"
"Co_S_din3_c1","Co","S","din3_c1","din3",0.782439499999911,1.12180372987357,"True"
"Co_P_rol2_din2_c2_s1","Co","P","rol2_din2_c2_s1","rol2_din2",-3.04256050000002,-2.81051860469407,"True"
"Cd_P_rol1_din2","Cd","P","rol1_din2","rol1_din2",0.741058699999924,0.956210957041021,"True"
"Cd_C_rol2_din2_c4","Cd","C","rol2_din2_c4","rol2_din2",-4.83794130000003,-4.47169088024202,"True"
"Pt_N_rol1_din2_c2_s2","Pt","N","rol1_din2_c2_s2","rol1_din2",1.04751850000004,0.816682068490119,"True"
"Rh_P_rol2_din2_c2_s3","Rh","P","rol2_din2_c2_s3","rol2_din2",-4.41517799999996,-3.98284318002649,"True"
"Ru_N_din3_c1","Ru","N","din3_c1","din3",0.775466500000078,1.16207813449019,"True"
"Os_P_rol2_din2_c2_s3","Os","P","rol2_din2_c2_s3","rol2_din2",-3.43562199999998,-3.18891458686831,"True"
"Ru_S_rol1_din2_c1_b","Ru","S","rol1_din2_c1_b","rol1_din2",2.92046650000006,2.39012762878665,"True"
"Zn_S_din4_c2_d2","Zn","S","din4_c2_d2","din4",-0.250755850000052,-0.086418362383589,"True"
"Ag_P_din4_c3","Ag","P","din4_c3","din4",0.649005750000007,0.431924293309986,"True"
"Cu_S_rol2_din2_c2_s3","Cu","S","rol2_din2_c2_s3","rol2_din2",-2.05941174999998,-2.08193817620538,"True"
"Pt_S_rol1_din2_c2_s1","Pt","S","rol1_din2_c2_s1","rol1_din2",1.45351849999999,2.04734020794377,"True"
"Rh_S_rol1_din2_c1_b","Rh","S","rol1_din2_c1_b","rol1_din2",1.80082200000005,1.62760863359641,"True"
"Os_P_din3","Os","P","din3","din3",2.93037800000001,2.31561750443145,"True"
"Au_S_rol1_din2_c2_s2","Au","S","rol1_din2_c2_s2","rol1_din2",2.80070949999998,1.28305499990205,"False"
"Cd_P_rol2_din2_c2_s3","Cd","P","rol2_din2_c2_s3","rol2_din2",-2.48394129999998,-2.79228119148672,"True"
"Pd_S_rol2_din2_c2_s2","Pd","S","rol2_din2_c2_s2","rol2_din2",-2.05549675000002,-1.6919715398221,"True"
"Cd_P_din4_c3","Cd","P","din4_c3","din4",1.31105869999997,0.520228784620574,"True"
"Cu_N_din4_c2_d1","Cu","N","din4_c2_d1","din4",-2.49241174999998,-2.24692882310277,"True"
"Co_P_rol3","Co","P","rol3","rol3",0.74543949999999,0.807569535153834,"True"
"Rh_P_rol2_din2_c2_s1","Rh","P","rol2_din2_c2_s1","rol2_din2",-2.77517799999998,-2.58952430380004,"True"
"Zn_S_din3_c2","Zn","S","din3_c2","din3",1.23224415000001,1.35059301175438,"True"
"Ir_P_din3","Ir","P","din3","din3",2.74608375000004,1.73483375195055,"True"
"Zn_P_din3_c2","Zn","P","din3_c2","din3",1.18224414999994,1.39706694270268,"True"
"Cu_P_rol2_din2_c2_d1","Cu","P","rol2_din2_c2_d1","rol2_din2",-1.78641174999996,-2.04391096953653,"True"
"Fe_C_rol1_din2_c3","Fe","C","rol1_din2_c3","rol1_din2",-2.01328250000004,-1.71575140707412,"True"
"Au_S_rol3_c1","Au","S","rol3_c1","rol3",1.18470949999999,1.1923868342518,"False"
"Rh_P_rol3_c2","Rh","P","rol3_c2","rol3",-0.078177999999974,0.660399785090509,"True"
"Os_S_din3","Os","S","din3","din3",4.00937799999996,3.93988898084478,"True"
"Ni_P_rol2_din2_c3_a","Ni","P","rol2_din2_c3_a","rol2_din2",-4.81621124999995,-4.2277860845491,"True"
"Ag_N_din4_c2_s1","Ag","N","din4_c2_s1","din4",-0.718994250000045,-0.715549327511247,"True"
"Ag_N_din4_c2_d1","Ag","N","din4_c2_d1","din4",-1.17199425000002,-0.896206239090737,"True"
"Au_N_rol2_din2_b","Au","N","rol2_din2_b","rol2_din2",-2.61229050000003,-2.89246193925842,"False"
"Ag_S_rol1_din2_c1_a","Ag","S","rol1_din2_c1_a","rol1_din2",2.54000574999997,1.77859471550623,"True"
"Au_N_din3_c2","Au","N","din3_c2","din3",1.85670950000002,0.701436273436838,"False"
"Pd_S_din3_c2","Pd","S","din3_c2","din3",2.62750324999997,2.14118145122829,"True"
"Pd_P_rol3","Pd","P","rol3","rol3",0.579503249999968,0.891707193262267,"True"
"Cu_P_rol2_din2_c2_s2","Cu","P","rol2_din2_c2_s2","rol2_din2",-2.45741175000001,-2.56610578711641,"True"
"Ir_S_rol2_din2_b","Ir","S","rol2_din2_b","rol2_din2",-0.031916250000098,-0.188769327223366,"True"
