"System","Metal","Hetatom","Cavity","Base_Cavity","y","Pred_00000","Train_00000"
"Au_S_rol2_din2","Au","S","rol2_din2","rol2_din2",3.2657094999999,2.53166144475408,"True"
"Cu_C_din4_c4","Cu","C","din4_c4","din4",-1.05441174999999,-0.739037255767493,"True"
"Ir_C_rol1_din2_c3","Ir","C","rol1_din2_c3","rol1_din2",-1.33791625000002,-1.24394546416583,"True"
"Ag_P_rol2_din2_a","Ag","P","rol2_din2_a","rol2_din2",-0.29299425,-0.428775106922093,"True"
"Os_N_rol3_c1","Os","N","rol3_c1","rol3",-0.34162200000004,-0.579622576659397,"True"
"Fe_P_rol2_din2_c2_s2","Fe","P","rol2_din2_c2_s2","rol2_din2",-2.81628250000004,-2.77589484461753,"True"
"Fe_N_rol2_din2_c3_a","Fe","N","rol2_din2_c3_a","rol2_din2",-4.77328250000003,-4.6410139231193,"True"
"Cd_N_din4","Cd","N","din4","din4",-0.520941299999905,-0.242059587885873,"True"
"Pt_N_rol2_din2_c2_s1","Pt","N","rol2_din2_c2_s1","rol2_din2",-5.26748150000002,-4.60505681275942,"True"
"Fe_N_din4_c2_d1","Fe","N","din4_c2_d1","din4",-2.58128250000002,-2.33859257719467,"True"
"Co_S_rol2_din2_a","Co","S","rol2_din2_a","rol2_din2",-0.390560499999977,-0.304883901368415,"True"
"Cu_N_rol2_din2","Cu","N","rol2_din2","rol2_din2",-2.24341174999995,-2.29792068435781,"True"
"Fe_P_din4","Fe","P","din4","din4",-0.782282500000044,-0.270542172137369,"True"
"Ag_N_rol1_din2_c1_b","Ag","N","rol1_din2_c1_b","rol1_din2",1.78600574999995,1.64992783207671,"True"
"Os_P_din4_c1","Os","P","din4_c1","din4",1.10737800000003,1.24164277494077,"True"
"Zn_S_rol2_din2_c2_d1","Zn","S","rol2_din2_c2_d1","rol2_din2",-1.38675584999991,-1.47199177267351,"False"
"Zn_C_din3_c3","Zn","C","din3_c3","din3",0.188244149999913,-0.115217815631746,"False"
"Cu_N_din4_c2_d2","Cu","N","din4_c2_d2","din4",-2.49241174999998,-2.2356491404499,"True"
"Zn_S_rol3_c2","Zn","S","rol3_c2","rol3",-1.5277558500001,-0.714258640648029,"False"
"Co_S_din4_c1","Co","S","din4_c1","din4",-0.223560500000061,0.057841642270647,"True"
"Zn_S_rol2_din2_c2_s2","Zn","S","rol2_din2_c2_s2","rol2_din2",-1.66375585000006,-1.15205866864723,"False"
"Fe_P_din4_c2_s1","Fe","P","din4_c2_s1","din4",-0.592282499999989,-0.383451837147707,"True"
"Cd_C_din4_c4","Cd","C","din4_c4","din4",0.430058700000003,0.057830245086491,"True"
"Zn_S_rol3_c1","Zn","S","rol3_c1","rol3",0.599244149999971,1.09078409503415,"False"
"Au_P_rol2_din2_c2_d1","Au","P","rol2_din2_c2_d1","rol2_din2",-1.92929049999993,-1.78926967917882,"True"
"Rh_N_rol2_din2_c2_s1","Rh","N","rol2_din2_c2_s1","rol2_din2",-3.93717800000001,-3.68799326511713,"True"
"Ag_S_rol2_din2_c2_s3","Ag","S","rol2_din2_c2_s3","rol2_din2",-1.46399425000005,-1.25703632673622,"True"
"Cu_N_din4_c2_s1","Cu","N","din4_c2_s1","din4",-2.07041175000006,-2.16876865931227,"True"
"Cu_S_din4_c3","Cu","S","din4_c3","din4",-1.26241174999996,-1.01874883396123,"True"
"Cu_S_din3_c2","Cu","S","din3_c2","din3",3.32558825000001,2.73486952972308,"True"
"Cu_P_rol3_c1","Cu","P","rol3_c1","rol3",1.65458824999996,1.39913342045785,"True"
"Au_P_din4_c1","Au","P","din4_c1","din4",2.15370949999993,1.42801235512077,"True"
"Pd_N_din4_c2_d2","Pd","N","din4_c2_d2","din4",-2.41649675000001,-2.16255670611434,"True"
"Pd_N_rol2_din2_b","Pd","N","rol2_din2_b","rol2_din2",-3.39449675000008,-3.22869486002336,"True"
"Cd_S_din3_c1","Cd","S","din3_c1","din3",0.791058699999993,1.09415042053751,"True"
"Ru_S_rol1_din2_c2_s2","Ru","S","rol1_din2_c2_s2","rol1_din2",0.471466499999991,1.21199687224002,"True"
"Ag_N_rol2_din2_a","Ag","N","rol2_din2_a","rol2_din2",-2.53699425000003,-2.67916582014428,"True"
"Pd_S_rol3_c2","Pd","S","rol3_c2","rol3",-0.683496750000066,-0.711496024211087,"True"
"Pd_P_rol2_din2_c2_s3","Pd","P","rol2_din2_c2_s3","rol2_din2",-4.52349674999998,-4.29002133033517,"True"
"Cd_S_rol2_din2_c3_a","Cd","S","rol2_din2_c3_a","rol2_din2",-3.04794129999995,-3.15443820941605,"True"
"Cd_S_rol2_din2","Cd","S","rol2_din2","rol2_din2",0.71905869999999,1.22321358712814,"True"
"Rh_S_din4_c2_s1","Rh","S","din4_c2_s1","din4",-0.710178000000036,-0.647035737143269,"True"
"Ag_P_din4_c2_d1","Ag","P","din4_c2_d1","din4",2.48700574999997,1.89675128320142,"True"
"Ru_N_rol1_din2","Ru","N","rol1_din2","rol1_din2",3.08846649999995,2.00294449130097,"True"
"Ni_P_din3_c1","Ni","P","din3_c1","din3",2.11278875000003,1.54361798482807,"True"
"Pt_N_rol3_c2","Pt","N","rol3_c2","rol3",-1.92148150000001,-2.24905837788743,"True"
"Au_N_rol2_din2_c2_s3","Au","N","rol2_din2_c2_s3","rol2_din2",0.269709500000029,-0.858183911590326,"True"
"Cu_P_rol2_din2_c2_s1","Cu","P","rol2_din2_c2_s1","rol2_din2",-2.96541175000005,-2.7018804729423,"True"
"Ni_N_din3_c2","Ni","N","din3_c2","din3",-0.140211250000014,-0.112517068261173,"True"
"Cd_C_rol1_din2_c3","Cd","C","rol1_din2_c3","rol1_din2",0.768058699999968,0.672940866509016,"True"
"Cd_S_rol1_din2","Cd","S","rol1_din2","rol1_din2",0.777058699999983,1.13360738897218,"True"
"Os_P_rol2_din2_b","Os","P","rol2_din2_b","rol2_din2",-1.13062200000003,-1.12045899549871,"True"
"Pd_P_rol2_din2_c3_b","Pd","P","rol2_din2_c3_b","rol2_din2",-3.31349675000006,-3.35182792712229,"True"
"Zn_S_din4_c1","Zn","S","din4_c1","din4",-0.048755850000054,0.508274419547009,"False"
"Co_S_rol1_din2_c1_b","Co","S","rol1_din2_c1_b","rol1_din2",1.20843950000007,1.22002056893723,"True"
"Pt_C_rol1_din2_c3","Pt","C","rol1_din2_c3","rol1_din2",-1.12948149999998,-1.27174751790865,"True"
"Au_S_rol1_din2_c2_s1","Au","S","rol1_din2_c2_s1","rol1_din2",3.08270950000002,2.69329752859098,"True"
"Zn_N_rol1_din2_c1_a","Zn","N","rol1_din2_c1_a","rol1_din2",-0.553755849999935,0.310758994401323,"False"
"Au_P_rol1_din2","Au","P","rol1_din2","rol1_din2",1.83870949999999,1.50971690760158,"True"
"Fe_P_rol1_din2_c2_s2","Fe","P","rol1_din2_c2_s2","rol1_din2",-0.51928250000001,0.685276611895382,"True"
"Ag_S_din4_c3","Ag","S","din4_c3","din4",-0.051994249999901,0.134827937372718,"True"
"Pt_P_rol1_din2_c1_a","Pt","P","rol1_din2_c1_a","rol1_din2",2.79851850000002,2.08122496892211,"True"
"Zn_N_din4_c1","Zn","N","din4_c1","din4",-2.04775585000008,-1.92418242533724,"False"
"Cd_N_din4_c1","Cd","N","din4_c1","din4",-0.602941300000013,-0.618495766257361,"True"
"Pt_S_din4","Pt","S","din4","din4",2.79751850000004,2.61766301613984,"True"
"Fe_C_din4_c4","Fe","C","din4_c4","din4",-0.823282499999984,-0.792787461048715,"True"
"Au_N_rol1_din2_c1_b","Au","N","rol1_din2_c1_b","rol1_din2",1.75770949999997,1.68853204226465,"True"
"Os_N_rol3_c2","Os","N","rol3_c2","rol3",-1.98862199999997,-2.08170351980359,"True"
